run_id,config_hash,policy,sample_index,fold,prototype_scope,case_excluded_from_training,true_class,predicted_class,desired_class,correct,confidence,eligible_for_upward_shift,intervention_mode,n_allowed_features,valid,achieved_class,probability_gain,desired_probability,cost,num_changed_features,changed_features,changed_control_types,changes_json,failure_reason,prototypes_considered,candidates_evaluated,domain_rejections
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,17,1,outer_training_partition_only,True,3,3,4,True,0.9745988706448169,True,employee_only,3,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,58,0
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,17,1,outer_training_partition_only,True,3,3,4,True,0.9745988706448169,True,employee_manager,8,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,165,0
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,17,1,outer_training_partition_only,True,3,3,4,True,0.9745988706448169,True,organization_allowed,15,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,220,2
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,17,1,outer_training_partition_only,True,3,3,4,True,0.9745988706448169,True,diagnostic_full_default,20,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,242,1
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,17,1,outer_training_partition_only,True,3,3,4,True,0.9745988706448169,True,no_salary,15,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,220,2
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,24,1,outer_training_partition_only,True,3,3,4,True,0.9342928080941709,True,employee_only,3,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,53,0
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,24,1,outer_training_partition_only,True,3,3,4,True,0.9342928080941709,True,employee_manager,8,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,129,0
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,24,1,outer_training_partition_only,True,3,3,4,True,0.9342928080941709,True,organization_allowed,15,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,101,182
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,24,1,outer_training_partition_only,True,3,3,4,True,0.9342928080941709,True,diagnostic_full_default,20,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,176,88
counterfactual_cost_benchmark_20260712,738ec00ae6d2b64494c8e00f74fa3a6e32afd4d4afbff54c10900020287358fc,no_salary_hike_no_attrition_no_department,24,1,outer_training_partition_only,True,3,3,4,True,0.9342928080941709,True,no_salary,15,False,,,,,0,,,[],no_candidate_reached_desired_or_higher_class,119,101,182
