run_id,date_time,git_commit_if_available,script,config,feature_set,model,seed,cv_strategy,primary_metrics,output_dir,notes,decision_status
audit_20260605_phase0,2026-06-05T16:26:44+03:00,6f9df0a85d26bf1519634001357c8f91340a740c,manual_repository_audit,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,reports/research_log/repo_audit.md,"Phase 0 repository audit only. No model experiment was executed in this registry row. Existing reports, scripts, tests, and artifacts were inventoried.",needs_review
infra_config_registry_tests_20260605,2026-06-05T15:03:28+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/*.yaml,not_applicable,not_applicable,not_applicable,not_applicable,17 unit tests passed,tests,"Validated config loading, feature-set exclusion, taxonomy annotations, central metrics, leakage sensitivity, and experiment registry writer without running model experiments.",candidate
data_audit_20260605,2026-06-05T15:05:05+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.data.audit,configs/project.yaml; configs/feature_taxonomy.yaml,not_applicable,not_applicable,not_applicable,not_applicable,"{""columns"": 28, ""duplicate_id_count"": 0, ""null_target_count"": 0, ""rows"": 1200}",reports\data_audit,"Generated schema, target distribution, missingness, duplicate, taxonomy review, and temporality audit outputs.",candidate
phase2_data_audit_tests_20260605,2026-06-05T15:05:22+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/project.yaml; configs/feature_taxonomy.yaml; configs/feature_sets.yaml,not_applicable,not_applicable,not_applicable,not_applicable,18 unit tests passed,tests,"Validated data audit generation plus phase-1 config, feature-set, taxonomy, metrics, leakage sensitivity, and registry tests.",candidate
leakage_sensitivity_existing_ablation_20260605,2026-06-05T15:07:07+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.leakage_sensitivity,reports/robustness/leakage_ablation/leakage_ablation_summary.csv,multiple,catboost; lightgbm; xgboost,source_report,source_report,macro_f1_lsi; quadratic_weighted_kappa_lsi,reports\leakage,Derived LSI report from existing leakage ablation outputs. No model training was run.,candidate
phase4_lsi_report_tests_20260605,2026-06-05T15:07:23+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/evaluation.yaml; reports/leakage/leakage_sensitivity_index.csv,multiple,not_applicable,not_applicable,not_applicable,19 unit tests passed,tests,"Validated LSI table generation plus config, data audit, feature-set, taxonomy, metrics, and registry tests.",candidate
leakage_safe_cv_config_2026-06-05T15:16:50+00:00,2026-06-05T15:16:50+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.leakage_safe_cv,configs/feature_sets.yaml; configs/evaluation.yaml; configs/model_grid.yaml,no_salary_hike_no_attrition; no_salary_hike_no_attrition_no_department,catboost; lightgbm; xgboost,42,"StratifiedKFold(n_splits=10, shuffle=True)",macro_f1; quadratic_weighted_kappa; ordinal_mae; severe_error_rate; nll_log_loss; multiclass_brier; ece_confidence,reports\leakage_safe_cv_config,Config-backed leakage-safe CV. Final candidate feature sets exclude Age per researcher approval.,candidate
department_proxy_analysis_20260605,2026-06-05T15:19:13+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m src.experiments.proxy_analysis,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,no_salary_hike_no_attrition_no_department,balanced_logistic_regression_proxy_classifier,42,"StratifiedKFold(n_splits=5, shuffle=True)","[{""mean"": 0.9824999999999999, ""metric"": ""accuracy"", ""std"": 0.00950146187582617}, {""mean"": 0.981974051708067, ""metric"": ""balanced_accuracy"", ""std"": 0.015443491788476503}, {""mean"": 0.9723854069988519, ""metric"": ""macro_f1"", ""std"": 0.013044933931867364}]",reports\fairness,Proxy analysis for reconstructing EmpDepartment from department-free final-candidate features. No employee performance model was trained.,candidate
phase_proxy_tests_20260605,2026-06-05T15:20:00+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/feature_sets.yaml; configs/fairness.yaml; configs/feature_taxonomy.yaml,not_applicable,not_applicable,not_applicable,not_applicable,22 unit tests passed,tests,"Validated approved Age exclusion policy, config-backed feature sets, leakage CV helpers, data audit, LSI, metrics, registry, and department proxy helper tests.",candidate
final_fast_tests_after_catboost_write_guard_20260605,2026-06-05T15:20:56+00:00,6f9df0a85d26bf1519634001357c8f91340a740c,python -m unittest discover -s tests -v,configs/*.yaml,not_applicable,not_applicable,not_applicable,not_applicable,22 unit tests passed,tests,Final fast test pass after adding CatBoost allow_writing_files=False guard in leakage-safe CV.,candidate
